Timestamp,SceneName,CD_Ratio,IsGrabbed,LeftCtrl_PosX,LeftCtrl_PosY,LeftCtrl_PosZ,LeftCtrl_RotX,LeftCtrl_RotY,LeftCtrl_RotZ,RightCtrl_PosX,RightCtrl_PosY,RightCtrl_PosZ,RightCtrl_RotX,RightCtrl_RotY,RightCtrl_RotZ,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,TargetObj_PosX,TargetObj_PosY,TargetObj_PosZ,TargetObj_RotX,TargetObj_RotY,TargetObj_RotZ,EyeGaze_OriginX,EyeGaze_OriginY,EyeGaze_OriginZ,EyeGaze_DirX,EyeGaze_DirY,EyeGaze_DirZ,Gaze_DeviationAngle,IsGazeValid
0.0000,ApplicationSystemMain,0.500,1,-0.0688,0.8891,-0.2042,306.33,303.46,60.70,0.1237,0.9409,-0.0506,289.02,23.86,324.82,0.0821,1.2404,-0.3754,339.15,9.60,355.04,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0821,1.2404,-0.3754,0.1559,0.3559,0.9214,17.73,0
0.0315,ApplicationSystemMain,0.500,1,-0.0686,0.8891,-0.2041,306.36,303.50,60.80,0.1235,0.9406,-0.0503,289.14,22.94,325.73,0.0827,1.2404,-0.3753,339.19,9.85,354.97,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0827,1.2404,-0.3753,0.1599,0.3553,0.9210,17.77,0
0.0356,ApplicationSystemMain,0.500,1,-0.0682,0.8890,-0.2042,306.26,303.51,60.75,0.1230,0.9400,-0.0500,289.35,21.20,327.94,0.0838,1.2404,-0.3754,339.20,10.32,354.80,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0838,1.2404,-0.3754,0.1675,0.3552,0.9197,17.90,0
0.0445,ApplicationSystemMain,0.500,1,-0.0680,0.8890,-0.2042,306.24,303.55,60.63,0.1230,0.9399,-0.0499,289.39,21.92,326.93,0.0842,1.2405,-0.3754,339.19,10.51,354.80,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0842,1.2405,-0.3754,0.1705,0.3552,0.9191,17.97,0
0.0555,ApplicationSystemMain,0.500,1,-0.0678,0.8890,-0.2042,306.21,303.61,60.59,0.1229,0.9397,-0.0499,289.45,22.64,325.91,0.0847,1.2405,-0.3754,339.19,10.74,354.69,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0847,1.2405,-0.3754,0.1741,0.3553,0.9184,18.05,0
0.0666,ApplicationSystemMain,0.500,1,-0.0676,0.8890,-0.2041,306.19,303.73,60.56,0.1229,0.9396,-0.0499,289.46,23.24,325.22,0.0853,1.2405,-0.3755,339.19,10.99,354.58,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0853,1.2405,-0.3755,0.1781,0.3552,0.9176,18.14,0
0.0777,ApplicationSystemMain,0.500,1,-0.0675,0.8890,-0.2041,306.21,303.85,60.53,0.1229,0.9395,-0.0499,289.32,24.03,324.32,0.0857,1.2405,-0.3754,339.20,11.22,354.50,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0857,1.2405,-0.3754,0.1819,0.3551,0.9170,18.21,0
0.0889,ApplicationSystemMain,0.500,1,-0.0673,0.8890,-0.2042,306.23,303.89,60.57,0.1229,0.9396,-0.0499,289.20,25.24,322.96,0.0862,1.2405,-0.3754,339.22,11.43,354.45,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0862,1.2405,-0.3754,0.1853,0.3547,0.9164,18.27,0
0.1001,ApplicationSystemMain,0.500,1,-0.0671,0.8890,-0.2042,306.22,303.91,60.50,0.1230,0.9396,-0.0500,289.02,25.85,322.31,0.0867,1.2405,-0.3755,339.24,11.63,354.43,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0867,1.2405,-0.3755,0.1885,0.3545,0.9159,18.33,0
0.1111,ApplicationSystemMain,0.500,1,-0.0670,0.8890,-0.2041,306.24,303.93,60.40,0.1230,0.9396,-0.0500,288.84,26.10,321.93,0.0872,1.2404,-0.3755,339.26,11.79,354.38,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0872,1.2404,-0.3755,0.1911,0.3542,0.9155,18.38,0
0.1223,ApplicationSystemMain,0.500,1,-0.0668,0.8890,-0.2041,306.24,303.93,60.39,0.1230,0.9397,-0.0500,288.64,26.07,321.72,0.0876,1.2404,-0.3754,339.29,11.98,354.32,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0876,1.2404,-0.3754,0.1941,0.3536,0.9150,18.43,0
0.1339,ApplicationSystemMain,0.500,1,-0.0666,0.8890,-0.2040,306.28,304.02,60.38,0.1229,0.9397,-0.0500,288.60,25.98,321.64,0.0879,1.2404,-0.3756,339.29,12.12,354.29,0.1660,1.3000,0.5550,0.00,0.00,0.00,0.0879,1.2404,-0.3756,0.1964,0.3536,0.9145,18.49,0
