Timestamp,SceneName,CD_Ratio,IsGrabbed,LeftCtrl_PosX,LeftCtrl_PosY,LeftCtrl_PosZ,LeftCtrl_RotX,LeftCtrl_RotY,LeftCtrl_RotZ,RightCtrl_PosX,RightCtrl_PosY,RightCtrl_PosZ,RightCtrl_RotX,RightCtrl_RotY,RightCtrl_RotZ,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,TargetObj_PosX,TargetObj_PosY,TargetObj_PosZ,TargetObj_RotX,TargetObj_RotY,TargetObj_RotZ,EyeGaze_OriginX,EyeGaze_OriginY,EyeGaze_OriginZ,EyeGaze_DirX,EyeGaze_DirY,EyeGaze_DirZ,Gaze_DeviationAngle,IsGazeValid
0.0000,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1506,0.6658,0.4222,302.67,21.30,330.44,0.0247,0.9403,0.1851,358.59,359.03,359.25,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0247,0.9403,0.1851,-0.0169,0.0246,0.9996,61.84,0
0.0150,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1509,0.6657,0.4221,302.27,20.88,330.96,0.0246,0.9403,0.1851,358.58,359.02,359.26,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0246,0.9403,0.1851,-0.0171,0.0248,0.9995,61.85,0
0.0218,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1511,0.6656,0.4218,301.82,20.70,330.81,0.0246,0.9404,0.1851,358.58,359.01,359.29,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0246,0.9404,0.1851,-0.0172,0.0247,0.9995,61.85,0
0.0332,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1509,0.6655,0.4213,301.08,20.78,331.00,0.0245,0.9404,0.1851,358.56,359.01,359.29,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0245,0.9404,0.1851,-0.0173,0.0251,0.9995,61.87,0
0.0444,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1509,0.6656,0.4209,300.77,20.57,331.34,0.0244,0.9404,0.1851,358.55,359.01,359.29,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0244,0.9404,0.1851,-0.0173,0.0253,0.9995,61.88,0
0.0557,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1509,0.6656,0.4205,300.43,20.11,331.60,0.0244,0.9405,0.1851,358.54,359.01,359.30,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0244,0.9405,0.1851,-0.0173,0.0255,0.9995,61.90,0
0.0665,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1512,0.6654,0.4193,300.15,18.31,331.28,0.0243,0.9404,0.1851,358.53,359.00,359.31,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0243,0.9404,0.1851,-0.0175,0.0256,0.9995,61.91,0
0.0774,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1518,0.6653,0.4177,299.65,16.18,331.10,0.0243,0.9405,0.1851,358.52,358.99,359.32,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0243,0.9405,0.1851,-0.0176,0.0259,0.9995,61.92,0
0.0889,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1517,0.6652,0.4168,298.78,14.96,330.49,0.0242,0.9405,0.1851,358.49,358.98,359.34,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0242,0.9405,0.1851,-0.0177,0.0263,0.9995,61.95,0
0.0997,CoreSystemMain,0.500,0,0.0000,-0.2600,0.0000,337.99,8.15,311.04,0.1502,0.6656,0.4165,297.99,14.78,333.22,0.0241,0.9405,0.1852,358.48,358.97,359.36,0.0266,0.0750,0.6762,0.00,0.00,0.00,0.0241,0.9405,0.1852,-0.0180,0.0265,0.9995,61.96,0
